1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1773000000 
540. **85**  [台湾勢]    [テクモピア伊丹店@兵庫県@近畿] Score: 1379817825 
541. HAM  [WARNING!!]    [アミューズメントＣＵＥ奈良三条@奈良県@近畿] Score: 1379474956 
542. KATAKURI  [アドリブ村長]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1378598083 
543. DEF  [GROOVER]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1378554885 
544. G0R02  [裏表神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1377395275 
545. !  [THE NINJA WARRIORS]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1377197498 
546. prn  [尊い・・・]    [タイトーＦステーション小山店@栃木県@関東] Score: 1376619170 
547. X-+  [S級長宗我部元親]    [プラサカプコン直方店@福岡県@九州] Score: 1375501476 
548. Ti@+4T23  [永遠に紅い幼き月]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1375369007 
549. Lunar.  [九尾]    [タイトーステーション町田店@東京都@関東] Score: 1374866469 
550. JADECAT  [猫神]    [ゲームインファンファン藤沢新館@神奈川県@関東] Score: 1374778133 
551. nag.S9  [LINK PERFECT]    [タイトー仙台ベガロポリス店@宮城県@東北] Score: 1373593631 
552. HyoJJi!  [上上下下ABAB]    [ARCADE1@Korea@海外] Score: 1372934898 
553. OZU  [おぜう]    [セガワールド武生@福井県@北陸] Score: 1372612187 
554. milk-T  [Ｓ級凡人]    [Ｈｅｙ@東京都@関東] Score: 1372499229 
555. ASLTO072  [Frey's God]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1369966758 
556. Kasu  [I love "Shadow"]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1368300744 
557. teiramic  [Kick It Out Master]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1367816440 
558. Giravanz  [I love "SPACE INVADERS 2003"]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1367032590 
559. AKIRA  [落ち着きなさNo.1]    [アピナ鈴鹿店@三重県@東海] Score: 1365563921 
560. Touya  [THE BLUE MASTER]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1364719839 
561. Takah@C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1364398338 
562. Sasanqua  [初代SSS CLASS]    [タイトーステーション大須店@愛知県@東海] Score: 1363008661 
563. KUROTTI  [中級者]    [ＦＥＳＴＡ上尾店@埼玉県@関東] Score: 1362517928 
564. MASAKAZU  [不可能を無にする者]    [アミパラテクノランド店@岡山県@中国] Score: 1358499468 
565. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1358236709 
566. Genro!  [ADRENA KING]    [AMAZING TOWN(GANDARIA CITY)@Indonesia@海外] Score: 1356076360 
567. Minuit  [道なき道の挑戦者]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1354357046 
568. Almina  [「先生は今日も転がります。」]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1353720280 
569. SkyFox  [あるいは王という概念へのサクシード]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1353342964 
570. CAUTION!  [GHOST]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1352793413 
571. 321SUNNY  [練習中]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1352666979 
572. JOTIZAKI  [尊い・・・]    [ゲームパニック甲府@山梨県@関東] Score: 1352558602 
573. *BIG_G*  [つらい]    [セガワールド枚方@大阪府@近畿] Score: 1351465253 
574. seki4ta  [上上下下ABAB]    [楽市楽座　イオンモール今治店@愛媛県@四国] Score: 1350647767 
575. REIMU  [五欲の巫女]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1349817654 
576. yositune  [全都道府県完全制覇]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1349692637 
577. 43  [わぁーい！]    [タイトーステーション小田原店@神奈川県@関東] Score: 1349674992 
578. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1349151068 
579. DHAL  [I love IOSYS]    [タイトーステーション秋葉原店@東京都@関東] Score: 1348044449 
580. Mallulu*  [超COOL!]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1347526172 
581. GS*9*  [トリノコシティ・マスター]    [アポロゲームセンター沖洲店@徳島県@四国] Score: 1347099343 
582. O_____O  [上上下下ABAB]    [RED HAT ELEPHANT(JHONGLI SOGO)@Taiwan@海外] Score: 1347071916 
583. Sarari5  [夢の支配者]    [滋賀レジャーランド大津店@滋賀県@近畿] Score: 1346825779 
584. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1346634792 
585. NOZOMI!  [最高の舞台を目指せ！]    [セガ松江@島根県@中国] Score: 1346433405 
586. 10430  [うー！がぉー！]    [キャッツアイ新札幌店@北海道@北海道] Score: 1345932584 
587. IST-GC4S  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1345364767 
588. MIYATAKE  [ユメミスト]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1345155109 
589. Kouhei  [カーナビ大王]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1344171299 
590. HARUHI  [世界を大いに盛り上げる女神]    [AMERICAN POOL@Hong Kong@海外] Score: 1343890414 
591. ZaubeR  [HONEY SUNRiSE GODDESS]    [アミューズメントＣＵＥ奈良三条@奈良県@近畿] Score: 1343094379 
592. 1049RX  [Get down everybody!]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1341995291 
593. Cukr  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1341913843 
594. KAGE  [お星さまにお願い☆]    [キャロム大宮店@埼玉県@関東] Score: 1341796359 
595. GLFA  [わわわわーにん！]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1341456974 
596. COTA-D  [しんどい]    [ユーズランド　となみ店@富山県@北陸] Score: 1341091219 
597. RELLENA.  [彼女とデートなうって使っていいよ。]    [セガ明石@兵庫県@近畿] Score: 1340017180 
598. UMM  [I love "Hello 31337"]    [タイトーステーション新宿東口店@東京都@関東] Score: 1339860569 
599. ISO  [GENESYS]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1337970150 
600. BLACK  [金色の異端児]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1337703000 
********************************************************************************************
601. YUKINAGI  [Crystal god]    [ラウンドワンさいたま・上里店@埼玉県@関東] Score: 1337684892 
602. GEAR  [PRO]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1337585989 
603. MELT  [わーい！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1336357221 
604. NGC224  [I love 新生『でんぱ組.inc』]    [ゲームランド松山@長崎県@九州] Score: 1335142318 
605. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1335067072 
606. KANOOPY*  [ブレイヴ ゴッド]    [タイトーステーション立川北口店@東京都@関東] Score: 1333622805 
607. ALPATROS  [行脚神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1333441153 
608. MORUM0.  [地球割り神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1333139638 
609. 0_0  [無理]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1332782408 
610. Caferia  [グルーヴ一万段]    [ゲームランド（岡崎）@愛知県@東海] Score: 1332466803 
611. HAYATE  [東方六楽抄]    [四日市アミューズメントパーク@三重県@東海] Score: 1332151371 
612. KATSUKI  [わわわわーにん！]    [ラウンドワン梅田店@大阪府@近畿] Score: 1330714158 
613. Mogyugyu  [3EX]    [GAMEMASTER(FESTIVAL CITYLINK)@Indonesia@海外] Score: 1329382513 
614. nEkO?  [Specta God]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1327239581 
615. FFR-69  [FAIRY]    [タイトーＦステーション博多店@福岡県@九州] Score: 1325784020 
616. Tsumugi_  [噂の美少女探偵]    [サードプラネットＢｉＶｉ仙台店@宮城県@東北] Score: 1325748522 
617. JESUS  [夢現神]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1325725693 
618. R.EIMU  [永遠の巫女]    [タイトーステーション弥富店@愛知県@東海] Score: 1325657346 
619. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1322232911 
620. GONGA  [薬符「壺中の大銀河」]    [ユーズランド越谷店@埼玉県@関東] Score: 1320540696 
621. Co-Kichi  [泡はきドラゴン]    [セガワールド北山形@山形県@東北] Score: 1320412040 
622. GESUKO  [あのね…実はわたし、女神なんだ…?]    [タイトーステーション大宮店@埼玉県@関東] Score: 1319765427 
623. Nitro  [Don't stop funky music!]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1319389799 
624. Lw.nicol  [無理]    [タイトーステーション立川北口店@東京都@関東] Score: 1318461560 
625. TENTAI2  [天体観測神]    [ユーズランド下田店@青森県@東北] Score: 1318303772 
626. T  [にぼし！にぼし！きんぐ]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1317813500 
627. CaPer  [Frey's God]    [セガワールド府中@東京都@関東] Score: 1316701349 
628. YSSN  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1315885303 
629. SSKM  [イフリート]    [ユーズランド高崎店@群馬県@関東] Score: 1315784622 
630. tpAZ  [ネトゲ廃神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1315604347 
631. Rotter.  [God hive of Ra]    [タイトーステーション立川北口店@東京都@関東] Score: 1314225006 
632. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1313875149 
633. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1313180767 
634. Roku  [ルーキー]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1313045551 
635. SHIV4TY  [青森勢]    [ゲームフェスタミタマ@青森県@東北] Score: 1311885987 
636. SPICA  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1311816076 
637. TSUBASA  [超COOL!]    [タイトーステーション秋葉原店@東京都@関東] Score: 1311534637 
638. Triage-X  [エース]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1310918405 
639. #@&+/*=<  [日本勢]    [アピナ伊那店@長野県@信越] Score: 1310794323 
640. Lost@D  [GROOVER]    [アムネット五反田店@東京都@関東] Score: 1309774949 
641. sikitoki  [ハローハロー先生]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1309772831 
642. *COCO*  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1309438066 
643. ToshiEXE  [S級黒田官兵衛]    [ラウンドワン大分店@大分県@九州] Score: 1309367070 
644. STS  [アドリブ調査員]    [ラウンドワン秋田店@秋田県@東北] Score: 1308213436 
645. AnchoR  [アテンション ゴッド]    [キャッツアイ篠路店@北海道@北海道] Score: 1307174682 
646. MARISA  [普通の魔法使い]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1306544165 
647. iock  [GROOVER]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1305260189 
648. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1304975413 
649. A.N.C.B.  [GROOVER]    [タイトーステーション大宮店@埼玉県@関東] Score: 1304708346 
650. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1304577939 
651. Xa_xx  [Starlight Road King]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1304461708 
652. HIDEO  [北海道勢]    [タイトーステーション立川北口店@東京都@関東] Score: 1303995377 
653. sin.  [福島勢]    [セガワールド白河@福島県@東北] Score: 1303568415 
654. BASHI  [グルーヴ四段]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1303545336 
655. BOY  [I love STG]    [アーバンスクエア大須@愛知県@東海] Score: 1303353490 
656. KAISEN  [LINK TRANCE]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1302210159 
657. ZoNE  [I love "]-[|/34&lt;#!"]    [ラウンドワン青森店@青森県@東北] Score: 1302156546 
658. ACES  [S+級マグロ]    [プレイロットジョイ@東京都@関東] Score: 1301839551 
659. millin  [破壊神]    [ラウンドワン京都伏見店@京都府@近畿] Score: 1301146885 
660. WIND  [I LOVE 初音ミク]    [ゲームシティプラス川越店@埼玉県@関東] Score: 1300991921 
661. N  [ヨルムンガンド]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1300428649 
662. FUKAKEN  [ルーキー]    [セガ金山@愛知県@東海] Score: 1300263935 
663. ruruki  [「馬鹿じゃないの？」]    [タイトーステーション上野アメ横@東京都@関東] Score: 1300145810 
664. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1299181930 
665. Hobble  [Miraculous Master]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1297587290 
666. DJ+87GT  [強欲の魔法使い]    [タイトーステーション町田店@東京都@関東] Score: 1296643754 
667. kt_flcl  [星の歌姫]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1294229281 
668. SAKURA  [悲劇の「女王」]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1294202691 
669. TSL  [ヘリで来た。]    [プレイランドエフワンＲ@宮城県@東北] Score: 1293821953 
670. ETHEREUM  [白金神]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1293700088 
671. CHEN.  [労働反対先生]    [タイトーステーション新宿東口店@東京都@関東] Score: 1293417504 
672. GraNX999  [「馬鹿じゃないの？」]    [ユーズランド高岡店@富山県@北陸] Score: 1291577068 
673. +_RM13_  [:-) master]    [RED HAT ELEPHANT(JHONGLI SOGO)@Taiwan@海外] Score: 1291104741 
674. SATSUKI  [GCナビゲーター(バイト)]    [タイトーラザウォーク甲斐双葉店@山梨県@関東] Score: 1289187866 
675. Toki  [でんぱ神]    [タイトーステーション柏店@千葉県@関東] Score: 1286928511 
676. HL  [LINK LINK KING]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1286876809 
677. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1285473408 
678. Lemi.  [I love "ミュージック・リボルバー"]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1285190406 
679. AT  [裏切り神]    [セガワールドアポロ@大阪府@近畿] Score: 1283570160 
680. NODA  [第二回天下一音ゲ祭 ファイナリスト]    [ソユーフォレストハンター松前店@愛媛県@四国] Score: 1283535131 
681. Triage-Z  [激レア！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1282342662 
682. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1281174820 
683. Sugi  [ポリリズムゴッド]    [タイトーステーション柏店@千葉県@関東] Score: 1280877776 
684. Miem.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1280649970 
685. EDAMAME  [Ｓ＋級おでん]    [セガワールド旭@千葉県@関東] Score: 1279728769 
686. Sibatya  [漆黒の堕天使]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1278717205 
687. Na-Nya<<  [七福神]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1278614901 
688. YKL  [キャッチ・ザ・ハート]    [アミューズファクトリー@愛知県@東海] Score: 1277867128 
689. Rilla  [Ｓ＋級うどん]    [プラサカプコン石巻店@宮城県@東北] Score: 1277353298 
690. PsyK@NI  [Are you ready?]    [テクモピア南越谷店@埼玉県@関東] Score: 1276708047 
691. CHAOS  [Chaos God]    [タイトーステーション立川北口店@東京都@関東] Score: 1276217312 
692. daichi  [マイナスからのスタート 舐めんな！]    [アテナ日本橋@大阪府@近畿] Score: 1274749502 
693. K_Takuu*  [最高速の神]    [モナコ川越店@埼玉県@関東] Score: 1273976693 
694. uroco@99  [うー！がぉー！]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1273841114 
695. AMAKI  [ガンバ、ガンバ、ファイト♪]    [セガ尾道@広島県@中国] Score: 1272597852 
696. trip  [東京勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1272268210 
697. ACHAKURA  [赤ゴーグル☆]    [ソユーゲームフィールド堺鉄砲町@大阪府@近畿] Score: 1272005834 
698. AGNES+Y  [α]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1271818952 
699. N0Rt1xH.  [Groove faith]    [タイトーステーション広島本通店@広島県@中国] Score: 1271050730 
700. kamemo>@  [全都道府県グルメ完食]    [ラウンドワン金沢店@石川県@北陸] Score: 1270405923 
********************************************************************************************
701. IV_Nyxia  [毘沙門天の弟子]    [ＧＡＭＥ　ＣＥＮＴＥＲアクア店@滋賀県@近畿] Score: 1270249351 
702. necco*  [INFINITY]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1269179706 
703. NA2K@WA  [そんなんARIKA]    [ゲームパニック甲府@山梨県@関東] Score: 1267455035 
704. TAKANASI  [ENDLESS DREAM KING]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1266850293 
705. PPPAAYA  [GROOVER]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1263984296 
706. F1owery  [お断リンカちゃん]    [タイトーステーション大須店@愛知県@東海] Score: 1263606589 
707. KOTA-2  [I LOVE ZUNTATA]    [Ｈｅｙ@東京都@関東] Score: 1261868390 
708. NasKa  [GROOVER]    [Ｈｅｙ@東京都@関東] Score: 1261659707 
709. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1261169768 
710. KUROBARA  [奇術「エターナルミーク」]    [ビッグバン釧路@北海道@北海道] Score: 1260597180 
711. Yanma  [Ｓ＋級カツ丼]    [アピナ上田店@長野県@信越] Score: 1259720109 
712. DENPUN  [I LOVE ZUNTATA]    [四日市アミューズメントパーク@三重県@東海] Score: 1258563123 
713. EMBLYON3  [STORM CAUSER]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1258256459 
714. LEGACY  [無理]    [タイトーステーション上野アメ横@東京都@関東] Score: 1257102852 
715. *1-10*/  [がんばユメちゃん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1255154163 
716. 1COY  [しんどい]    [ラウンドワン栃木・樋ノ口店@栃木県@関東] Score: 1254973095 
717. -----0=0  [エース]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1254392415 
718. Ace  [DEVIL]    [ゲームパニック甲府@山梨県@関東] Score: 1253078041 
719. Phone@J  [I love "東方外魔伝"]    [ラッキー木更津店@千葉県@関東] Score: 1252961620 
720. Kevin  [I love "蒼空に舞え、墨染の桜"]    [SUPER GENIUS@Taiwan@海外] Score: 1252473468 
721. Tyome  [ソウカイ・シックスゲイツ]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1252194593 
722. TAQUOISE  [I LOVE リズムゲーム]    [オークランドシティ津店@三重県@東海] Score: 1249671299 
723. EVA  [マイナスからのスタート 舐めんな！]    [タイトーＦステーション博多店@福岡県@九州] Score: 1249283144 
724. 5ub+1e_k  [サイエンスゴッド]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1249227466 
725. KRNK  [Don't stop funky music!]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1249165424 
726. KANATA  [絶望]    [セガワールド米子@鳥取県@中国] Score: 1249106186 
727. Rozvaise  [Good Night, Bad God.]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1248654045 
728. Esuka  [ヴァンパイア姫]    [セガ今市@栃木県@関東] Score: 1248168148 
729. Hap-Dap  [Black King]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1246958291 
730. DEBU-KUN  [泡はきドラゴン]    [アピナ富山豊田店@富山県@北陸] Score: 1246062156 
731. SillyCaa  [がんばユメちゃん]    [セガ所沢@埼玉県@関東] Score: 1245635333 
732. MAC  [全都道府県完全制覇]    [ラウンドワン前橋店@群馬県@関東] Score: 1245244798 
733. ZUNPAPA  [初代ANTHEM]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1244465273 
734. Shiba  [メカクシ団]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1242378199 
735. shimo*ks  [三代目スコアタ騎士]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1239994322 
736. HK-R  [I LOVE ZUNTATA]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1239325968 
737. *SIU-YU*  [秘弾「そして誰もいなくなるか？」]    [GOLD STAR(TSUEN WAN)@Hong Kong@海外] Score: 1238766045 
738. Kirby#64  [青龍]    [ESLITE WUCHANG@Taiwan@海外] Score: 1237613289 
739. Tutinoko  [七福神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1237566777 
740. 273  [Ever…]    [セガワールド大森@東京都@関東] Score: 1236888409 
741. TANJ  [Rebellion God]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1236763670 
742. Tsukasa  [お断ユメちゃん！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1236450342 
743. KATYO*  [天衣無縫の神霊]    [セガ松山@愛媛県@四国] Score: 1236166127 
744. Patrick  [初PERFECT]    [HA-LA SHENG-HUO GUANG CHANG@Taiwan@海外] Score: 1234400485 
745. TATAZUN  [山口勢]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1232347926 
746. ODEN2000  [Ｓ＋級おでん]    [タイトーステーション池袋西口店@東京都@関東] Score: 1232166871 
747. SIOTEN  [骸骨神]    [ジャムジャムつくば店@茨城県@関東] Score: 1231694713 
748. Virgo  [MAGICIAN]    [セガ小名浜@福島県@東北] Score: 1231637454 
749. VELGR  [「サブタレイニアンローズ」]    [ファンタジードーム八戸@青森県@東北] Score: 1230972306 
750. 5/7  [ﾆｼﾞｵﾀｺﾐｭｼｮｰﾋｷﾆｰﾄ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1230814458 
751. HATHU  [アンノウン・クイーン]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1230788832 
752. DANDAN?  [Tell Your God]    [ゲームマグマックス川越@埼玉県@関東] Score: 1229921591 
753. Rz_m4lly  [ふたつのARIA]    [タイトーフジグラン北島店@徳島県@四国] Score: 1229441915 
754. wirry  [アドリブ村長]    [ラウンドワン池袋店@東京都@関東] Score: 1228928002 
755. LDT_JACK  [STARLIGHT GOD]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1228690357 
756. Hiro  [I love "Blue Destiny Blue"]    [Ｈｅｙ@東京都@関東] Score: 1227913701 
757. KENTA*  [□△×○神]    [プラサカプコン甲府店@山梨県@関東] Score: 1227637920 
758. NINJARA  [彼女とデートなうって使っていいよ。]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1227463948 
759. DBB_HTC  [I love "東方不死鳥"]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1226548200 
760. Toul  [玄武]    [スタジオプリモ甲府店@山梨県@関東] Score: 1226489123 
761. wahare  [一人じゃないんだ]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1226428873 
762. Koumei  [はじめてのぐるこす]    [ゲームスポット　アップル@富山県@北陸] Score: 1226424923 
763. ALICE  [閉じた恋の瞳]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1226393170 
764. TRACE  [ろくでなし神]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1225796889 
765. YAICHI  [僕のカミサマ]    [プレイランドキング七条店@京都府@近畿] Score: 1225595286 
766. SAY-YEAH  [ウンディーネ]    [Ｈｅｙ@東京都@関東] Score: 1223532984 
767. SYUSYOU  [Oh! Jesus!]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1222884611 
768. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1222682291 
769. SKYWAVE+  [満月神]    [ラウンドワン守口店@大阪府@近畿] Score: 1220515820 
770. BLACKFLY  [I love STG]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1220434102 
771. ToshiYa  [神出鬼没]    [アピナ松本店@長野県@信越] Score: 1219918176 
772. HBK-G.  [Ｓ＋級コーヒー]    [セガ赤羽@東京都@関東] Score: 1217633428 
773. DAN55NTA  [全都道府県完全制覇]    [アドアーズ橋本@神奈川県@関東] Score: 1217467456 
774. HALKEN  [I love 燦]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1216949416 
775. rikuoh*M  [甘い甘い神様]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1216362526 
776. ARUSU()  [GOD]    [タイトーステーション秋葉原店@東京都@関東] Score: 1216217182 
777. Galette  [I love ロンメイ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1214224218 
778. NANAMI  [I love "The world of spirit"]    [ラウンドワン高知店@高知県@四国] Score: 1211634724 
779. XaxtlLy  [GOD]    [タイトーステーション大宮店@埼玉県@関東] Score: 1210985011 
780. ToshiYa  [Ｓ級中将]    [アピナ松本店@長野県@信越] Score: 1210487609 
781. rm+-rf+/  [ふわっふわ15歳]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1210484898 
782. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1210067287 
783. ITODA  [そんなんARIKA]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1210026357 
784. ALBERT01  [月符「緋色の狂夢」]    [セガワールド成田@千葉県@関東] Score: 1209974908 
785. Bakkun  [ゆっくりしていってね！]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1209573152 
786. GENE  [初代A CLASS]    [スーパーノバ会津インター店@福島県@東北] Score: 1207206185 
787. recca#10  [I love "怪談「カーナビ」"]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1206856559 
788. JACK*  [インドネシア勢]    [ナムコランド広島店@広島県@中国] Score: 1206841713 
789. exit.  [踊ってみたら七変化！]    [ジョイランド江守店@福井県@北陸] Score: 1206365967 
790. IB  [INFINITY]    [EX10(MBK)@Thailand@海外] Score: 1205555058 
791. ASTRAL  [Z神]    [コムテックタワー@愛知県@東海] Score: 1204897473 
792. TAKACHAN  [アルカノイドvsインベーダーキング]    [セガワールドサントムーン@静岡県@東海] Score: 1204845271 
793. KotoNe*  [第三回天下一音ゲ祭 ファイナリスト]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1204418623 
794. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1203897652 
795. Flaxer#  [無名の王]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1203666851 
796. JUN  [カミ松]    [セガイオンモール岡山@岡山県@中国] Score: 1203584897 
797. Quree  [サイエンスゴッド]    [ARCADE1@Korea@海外] Score: 1202336226 
798. LuNe  [残酷な神]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1202041378 
799. REOL  [星条旗の女神]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1201813461 
800. step  [キャッチ・ザ・ハート]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1199912348 
********************************************************************************************
801. @ikoP  [I love "Dreamer"]    [タイトーステーション柏店@千葉県@関東] Score: 1199778086 
802. Pa.Chink  [OVER THE GOD]    [ナムコランド広島店@広島県@中国] Score: 1199592974 
803. ZOMBIE  [「誰も知らない おとぎばなし」]    [ゲームスポットＳＰＥＥＤ@山口県@中国] Score: 1197947429 
804. Yorda  [FEB, 2018 TOP RANKER]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1197862970 
805. PON-05  [GROOVER]    [ラウンドワン富士店@静岡県@東海] Score: 1197761619 
