1. newxh  [RAY FORCE KING]    [タイトーステーション所沢店@埼玉県@関東] Score: 1582000000 
538. FUKAKEN  [腹ぺこ]    [アミューズファクトリー@愛知県@東海] Score: 1282052774 
539. ARIKA  [魔界の召喚士]    [タイトーステーション立川北口店@東京都@関東] Score: 1279411802 
540. SUG!L  [そんなんARIKA]    [ゲームパニック甲府@山梨県@関東] Score: 1276844249 
541. U-TaM*G3  [Marry me, God]    [ナムコランド広島店@広島県@中国] Score: 1276551491 
542. DHAL  [[ 9 ]]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1276139419 
543. KATAKURI  [アドリブ村長]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1275973118 
544. BBC  [GROOVER]    [セガ所沢@埼玉県@関東] Score: 1275061963 
545. Y.T0302  [「反魂蝶 -八分咲-」]    [セガ池袋ギーゴ@東京都@関東] Score: 1273962701 
546. NODAM@S  [第二回天下一音ゲ祭 ファイナリスト]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1272578375 
547. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1271251266 
548. CHOMOKO  [TAITO GAME MASTER]    [セガワールド多治見@岐阜県@東海] Score: 1271184504 
549. DJ+87GT  [強欲の魔法使い]    [タイトーステーション町田店@東京都@関東] Score: 1270410703 
550. LOVE  [神・入門者]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1269877679 
551. OZU  [おぜう]    [ジョイランド鯖江店@福井県@北陸] Score: 1268857150 
552. Cukr  [FEVER! FEVER! FEVER!]    [アピナ鈴鹿店@三重県@東海] Score: 1267278811 
553. Yize  [わわわわーにん！]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1266105541 
554. Ti@+4T23  [永遠に紅い幼き月]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1265130582 
555. ZUNPAPA  [初代ANTHEM]    [タイトーステーション所沢店@埼玉県@関東] Score: 1264843577 
556. YUZUSOFT  [ふわっふわ15歳]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1264626001 
557. Nakagawa  [踊る骸骨]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1264464025 
558. kamemo>@  [石川勢]    [アミューズメントハウスＫ’ｓ@山口県@中国] Score: 1263258724 
559. Galax  [懺悔の時間です！]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1262649212 
560. HAM  [WARNING!!]    [セガ難波アビオン@大阪府@近畿] Score: 1261495481 
561. INDEX  [普通の魔法使い]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1261147953 
562. GraNX999  [あたいったら最強ね]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1260038327 
563. @_@l<  [I LOVE リズムゲーム]    [四日市アミューズメントパーク@三重県@東海] Score: 1259702236 
564. KANATA  [絶望]    [アミパラがいな店@鳥取県@中国] Score: 1259505267 
565. DENPUN  [三重の食いしん坊]    [アミューズファクトリー@愛知県@東海] Score: 1258993046 
566. CO-kichi  [I love ユメ]    [セガワールド北山形@山形県@東北] Score: 1258760806 
567. NasKa  [GROOVER]    [アピナ上田店@長野県@信越] Score: 1257968971 
568. ATMField  [陽気先生]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1257410185 
569. HERI  [神・拾漆段]    [タイトーステーション立川北口店@東京都@関東] Score: 1257025699 
570. TANJ  [GAME MUSIC TRIANGLER]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1256273708 
571. Tetsuuuu  [dis-human]    [あそＶＩＶＡ@京都府@近畿] Score: 1256253411 
572. wolfaith  [piggy]    [ROUND1(MAIN PLACE)@America@海外] Score: 1255821075 
573. Toul  [玄武]    [スタジオプリモ甲府店@山梨県@関東] Score: 1254252296 
574. Shiba  [メカクシ団]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1253933109 
575. METAL+  [I love "Help me, ERINNNNNN!!"]    [ラッキー西千葉店@千葉県@関東] Score: 1253819382 
576. *SIU-YU*  [秘弾「そして誰もいなくなるか？」]    [HOLLYWOOD GAME ZONE@Hong Kong@海外] Score: 1253412853 
577. CAUTION!  [GHOST]    [プレイランドキング七条店@京都府@近畿] Score: 1253224508 
578. PPPAAYA  [旅人]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1250393406 
579. 3345678  [メイド先生]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1250213392 
580. GESUKO  [あのね…実はわたし、女神なんだ…?]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1249976254 
581. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1249405629 
582. BLAZE283  [期待の新人]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1249296793 
583. Spica.  [Over Drive God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1248451021 
584. TSUBASA  [超COOL!]    [セガ秋葉原１号館@東京都@関東] Score: 1248359517 
585. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1248279037 
586. YTwwwww  [ドリームパーティーゴッド]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1247673772 
587. nagaitoR  [第四回天下一チャレンジャー]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1247187740 
588. 5/7  [ﾆｼﾞｵﾀｺﾐｭｼｮｰﾋｷﾆｰﾄ]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1246437192 
589. NETABARE  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1246107914 
590. PONTA-X  [はじめてのぐるこす]    [ゲームスポット　アップル@富山県@北陸] Score: 1244601551 
591. daichi  [白金神]    [ラウンドワン千日前店@大阪府@近畿] Score: 1242705452 
592. nEkO?  [初代店内皇帝]    [青森メトロポリス@青森県@東北] Score: 1239726300 
593. Wokura  [RED ALERT]    [EX10(LADPRAO)@Thailand@海外] Score: 1239639064 
594. 43  [「幼女の世界」]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1238454394 
595. LDT_JACK  [STARLIGHT GOD]    [TOM'S(YILAN MINSHENG)@Taiwan@海外] Score: 1237570269 
596. rm+-rf+/  [ふわっふわ15歳]    [Ｈｅｙ@東京都@関東] Score: 1235027856 
597. KOTA-2  [dis-human]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1234806949 
598. ToKi  [でんぱ神]    [ムー大陸　稲毛店@千葉県@関東] Score: 1234792900 
599. Nitro  [Linear King]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1234320187 
600. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1234069982 
********************************************************************************************
601. MarioLT  [Oh! Jesus!]    [アピナ松本店@長野県@信越] Score: 1232966242 
602. IB  [INFINITY]    [EX10(MBK)@Thailand@海外] Score: 1232607091 
603. prn  [LINK CARNIVAL]    [セガワールド小山@栃木県@関東] Score: 1232383206 
604. EVA  [MikuMikuKing]    [ラウンドワン大野城店@福岡県@九州] Score: 1232347601 
605. KEITA_KU  [大☆天☆才]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1232131216 
606. Hobble  [Lightning master]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1231376375 
607. Flaxer#  [無名の王]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1231099273 
608. waharu  [一人じゃないんだ]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1230412424 
609. Kirby#64  [青龍]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1230210099 
610. TAKACHAN  [アルカノイドvsインベーダーキング]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1229805802 
611. DANDANDA  [Tell Your God]    [ラウンドワン板橋店@東京都@関東] Score: 1229502800 
612. KasuKasu  [I love "Shadow"]    [プレイロットジョイ@東京都@関東] Score: 1227531776 
613. ITODA  [そんなんARIKA]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1226785975 
614. HyoJJi!  [Just be friends]    [ARCADE1@Korea@海外] Score: 1225637902 
615. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1225633742 
616. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1224085261 
617. KATSUKI  [わわわわーにん！]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1223143042 
618. HARUHI  [世界を大いに盛り上げる女神]    [AMERICAN POOL@Hong Kong@海外] Score: 1222998094 
619. Genro!  [17K GOD]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1222615942 
620. kt_flcl  [星の歌姫]    [ｎａｍｃｏ荻窪店@東京都@関東] Score: 1221107591 
621. KENTA*  [二息神]    [プラサカプコン甲府店@山梨県@関東] Score: 1219264733 
622. IKU*LEA  [第三回天下一音ゲ祭 ファイナリスト]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1218598343 
623. IST-GC3L  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1218563301 
624. Ogi  [StargazeR GoD]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1215205732 
625. Sugi  [救世主]    [タイトーステーション柏店@千葉県@関東] Score: 1212962805 
626. AKIRA  [落ち着きなさNo.1]    [アピナ鈴鹿店@三重県@東海] Score: 1212444511 
627. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1211476895 
628. KURORO*  [S級上杉謙信]    [タイトーステーション立川北口店@東京都@関東] Score: 1211390314 
629. SKYWAVE+  [サドマミゴッド]    [セガビバモール寝屋川@大阪府@近畿] Score: 1210869384 
630. clear  [LINK LINK GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1210454904 
631. Lost@D  [GROOVER]    [アムネット五反田店@東京都@関東] Score: 1209809461 
632. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1209763681 
633. MAC  [全都道府県完全制覇]    [ラウンドワン前橋店@群馬県@関東] Score: 1209367854 
634. CHEN.  [みんなのアイドル]    [エムエムランド@東京都@関東] Score: 1207636935 
635. TAKAHIRO  [Geometric Master]    [ワンダーヴュー成田店@千葉県@関東] Score: 1206489759 
636. Ellen  [I love "夢現"]    [セガ難波アビオン@大阪府@近畿] Score: 1206338374 
637. Ryota  [練習中]    [セガ伊勢@三重県@東海] Score: 1205351714 
638. WIND  [グリフォン]    [ゲームシティプラス川越店@埼玉県@関東] Score: 1205234919 
639. Sefia  [ピュアヒューリーズ]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1204508551 
640. T_TOSHI  [栄光のスペースファイター]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1204405462 
641. trip  [東京勢]    [ラウンドワン入間店@埼玉県@関東] Score: 1204310721 
642. Silly3  [すっごーい！]    [ラウンドワン入間店@埼玉県@関東] Score: 1203884424 
643. Taka+80  [二十世紀梨]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1203660303 
644. HUURAi  [I LOVE バブルン]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1202136742 
645. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1200791502 
646. NGGFN  [レンかわいいよレン]    [TOM'S(TAOYUAN FE21)@Taiwan@海外] Score: 1200519542 
647. !  [THE NINJA WARRIORS]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1200061607 
648. vinter  [I love "魔法少女幸福論"]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1199430260 
649. Nico252*  [神々が恋した神]    [プラサカプコン石巻店@宮城県@東北] Score: 1198715657 
650. muya-!?  [みんなのアイドル]    [セガワールド草津@滋賀県@近畿] Score: 1198611705 
651. Xa<>_xx  [戦車女王]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1198543607 
652. LeonardH  [Oh! Jesus!]    [アピナ松本店@長野県@信越] Score: 1197630580 
653. SASUBE  [Keep the King]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1197528176 
654. KAISEN  [意気揚々]    [ラウンドワン八王子店@東京都@関東] Score: 1196733774 
655. Glosoli  [LINK PERFECT]    [タイトー仙台ベガロポリス店@宮城県@東北] Score: 1195047858 
656. RICE  [初代SSS CLASS]    [ゲームコーナー東部@宮城県@東北] Score: 1194598176 
657. ARROW  [Ｓ＋級ラーメン]    [ラウンドワン浜大津アーカス店@滋賀県@近畿] Score: 1194258889 
658. AQUASKY  [金色の異端児]    [ナムコランド　日向店@宮崎県@九州] Score: 1193889850 
659. ENE*  [全都道府県完全制覇]    [タイトーステーション浜松店@静岡県@東海] Score: 1193511294 
660. GOMAmugi  [村人A]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1193269775 
661. Azure  [無名の王]    [ROUND1(LAKEWOOD)@America@海外] Score: 1192688093 
662. ethyl  [31337先生]    [タイトーステーション大須店@愛知県@東海] Score: 1191927241 
663. Cree_Fry  [生真面目リーダー]    [GAME TOPIA@Korea@海外] Score: 1191922208 
664. tzw10430  [独りんぼ神]    [キャッツアイ清田店@北海道@北海道] Score: 1191166695 
665. MOLLY  [超シューティング神]    [プレイロットジョイ@東京都@関東] Score: 1190984456 
666. HiBiKi  [Ｓ＋級コーヒー]    [セガ赤羽@東京都@関東] Score: 1190697569 
667. YUSUKE  [強欲の魔法使い]    [ユーズランド下田店@青森県@東北] Score: 1190598792 
668. seki4ta  [OMAKENO Daiou]    [楽市楽座　イオンモール今治店@愛媛県@四国] Score: 1190302689 
669. ALICE  [閉じた恋の瞳]    [タイトーステーション秋葉原店@東京都@関東] Score: 1190138677 
670. No7mo  [ドーモ、グルーヴァー=サン…]    [タイトーステーション町田店@東京都@関東] Score: 1189939411 
671. YKL  [キャッチ・ザ・ハート]    [アミューズファクトリー@愛知県@東海] Score: 1188994965 
672. HIDE  [うぉーあいにーごっど]    [ゲームパニックつくば@茨城県@関東] Score: 1188515912 
673. kyari  [秘弾「そして誰もいなくなるか？」]    [ハイテクランド　キューデン@東京都@関東] Score: 1188053930 
674. SATSUKI  [月符「緋色の狂夢」]    [タイトーラザウォーク甲斐双葉店@山梨県@関東] Score: 1187792855 
675. Reivan  [GROOVER]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1187761138 
676. TRACE  [土着神の頂点]    [ゲーム・モアイ宇都宮店@栃木県@関東] Score: 1187266806 
677. Galette  [I love ロンメイ]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1187086380 
678. KC_puz7  [タイトーLOVE]    [セガ水沢@岩手県@東北] Score: 1185869666 
679. tnpopo!!  [どんつくどんつくどんつくどんつく]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1185274267 
680. Ryusuke  [I love チルノ]    [宗像シティボウル@福岡県@九州] Score: 1185112941 
681. RedBunny  [幸福理論神]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1184751889 
682. Esuka  [ヴァンパイア姫]    [セガ今市@栃木県@関東] Score: 1183525908 
683. ACES  [S+級マグロ]    [プレイロットジョイ@東京都@関東] Score: 1183407239 
684. RIC  [STORM CAUSER]    [タイトーマルナカ新倉敷店@岡山県@中国] Score: 1181734464 
685. camnaven  [プラスチックセンセイ]    [ビーカム松森店@宮城県@東北] Score: 1181201720 
686. DEBU-KUN  [LOCK]    [アピナ富山南店@富山県@北陸] Score: 1180638291 
687. BASHI  [God hive of Ra]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1179870670 
688. SftCmdQ  [お断ユメちゃん！]    [タイトーステーション上野アメ横@東京都@関東] Score: 1179477394 
689. SnowWeln  [二代目超シューティング神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1179258289 
690. GXE10  [死欲の半霊]    [ピンクパンサー那珂店@茨城県@関東] Score: 1178750673 
691. Touya  [THE BLUE MASTER]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1178485565 
692. KARAMAKI  [わーい！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1178404716 
693. BIGaaaaa  [King of groove frontier.]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1177934301 
694. Hiver  [絶対思想啓蒙局大王]    [タイトーＦステーション小山店@栃木県@関東] Score: 1177784862 
695. Mr.Z  [FEVER]    [EX10(MBK)@Thailand@海外] Score: 1177517779 
696. Lemi.  [I love "ミュージック・リボルバー"]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1177387738 
697. KAGE  [お星さまにお願い☆]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1176827645 
698. FMNR  [ふたつのARIA]    [スーパーノバ天童@山形県@東北] Score: 1176552431 
699. MOCH  [ウミユリ神]    [ラウンドワンららぽーと湘南平塚@神奈川県@関東] Score: 1176215475 
700. E-Z1  [I love t+pazolite]    [ＡＭスポットドリームス@神奈川県@関東] Score: 1175293455 
********************************************************************************************
701. NEGIGAMO  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1175259134 
702. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏゆめタウン光の森店@熊本県@九州] Score: 1174767624 
703. Tyome  [ソウカイ・シックスゲイツ]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1174714009 
704. pt*fl153  [I LOVE バブルン]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1174503614 
705. MG*MOTHI  [魔法少女神]    [セガワールド六地蔵@京都府@近畿] Score: 1174470980 
706. Toaru  [＼ﾁｰﾝ／]    [ビーカム成沢店@山形県@東北] Score: 1174426500 
707. .torch  [女々しい大王]    [ラウンドワン横浜綱島店@神奈川県@関東] Score: 1172856925 
708. Y+zeki  [ヤタガラス・ゴッド]    [ユーズランド太田店@群馬県@関東] Score: 1172294078 
709. -------0  [ミリアの下僕]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1172292534 
710. Rakkyo  [I love "Five to Seven"]    [イミグランデ上永谷店@神奈川県@関東] Score: 1171445828 
711. LONGNEGI  [Shadow God]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1171334865 
712. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1171038973 
713. Caper  [I love "Good Night, Bad Luck."]    [セガワールドアルカス@東京都@関東] Score: 1170912095 
714. AYATAKA  [パンプキン神]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1170129688 
715. SkyFox  [リズム感の神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1169906807 
716. *paripi*  [星の歌姫]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1169880020 
717. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1169741061 
718. YAICHI  [モザイクゴッド]    [アピナ松本店@長野県@信越] Score: 1169519763 
719. PLATINUM  [ドリームパーティーゴッド]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1167782607 
720. ARISU  [北海道勢]    [セガワールド館林@群馬県@関東] Score: 1167609266 
721. Mary*  [Crystal master]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1167400199 
722. HAYATE  [東方六楽抄]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1167307776 
723. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1166905524 
724. MASAKAZU  [不可能を無にする者]    [アミパラテクノランド店@岡山県@中国] Score: 1166789457 
725. Anzu.F  [EXTREME]    [セガ秋葉原@東京都@関東] Score: 1166069424 
726. Rz_m4lly  [xx God]    [タイトーフジグラン北島店@徳島県@四国] Score: 1165545124 
727. KEY.MA  [小さなスイートポイズン]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1165465429 
728. Omeme8e  [萌えキュンソングを世界にお届け！]    [セガ小名浜@福島県@東北] Score: 1165322963 
729. KATYO*  [変なTシャツ女神]    [駅前スタジアム３@愛媛県@四国] Score: 1165207808 
730. Jun0009  [腹ぺこ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1165122599 
731. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1164873963 
732. KRNK  [どんつくどんつくどんつくどんつく]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1164696778 
733. w@  [うー！がぉー！]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1162188534 
734. Riznia  [Extra God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1161889919 
735. AiR-4sol  [Bright God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1161880930 
736. tsuok  [七転八起]    [タイトーステーション難波店@大阪府@近畿] Score: 1161267094 
737. ARUSU()  [GOD]    [セガ弘前@青森県@東北] Score: 1160136128 
738. Ryu  [ゴッド・オブ・ナイツ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1158790431 
739. Astel  [完全なる墨染の神]    [アムネット五反田店@東京都@関東] Score: 1158739201 
740. uroco@99  [うー！がぉー！]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1158566708 
741. SingleE  [Ｓ級少尉]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1158519263 
742. GS*9*  [Burst KING]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1157951904 
743. DA_FU  [TGM大王]    [夢大陸　松本店@長野県@信越] Score: 1157565169 
744. OBOBOAAA  [山の新人神様]    [セガ秋葉原@東京都@関東] Score: 1157396246 
745. BLACKFLY  [I love STG]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1156300974 
746. Na-Nya**  [I love "Weave Detonator"]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1156197063 
747. HK-R  [I LOVE ZUNTATA]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1155987111 
748. O_____O  [Ｓ＋級すき焼き]    [RED HAT ELEPHANT(JHONGLI SOGO)@Taiwan@海外] Score: 1154663411 
749. KOU  [メイド秘技「殺人ドール」]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1152452960 
750. Yanma  [Ｓ＋級餃子]    [アピナ上田店@長野県@信越] Score: 1152348018 
751. YUKINAGI  [無彩色神]    [ラウンドワンさいたま・上里店@埼玉県@関東] Score: 1151845587 
752. BUUBEE  [ドーモ、グルーヴァー=サン…]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1151113931 
753. TxiIL  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1150916953 
754. wirry+EX  [アドリブ村長]    [ｎａｍｃｏ中野店@東京都@関東] Score: 1150488988 
755. cuberick  [練習中]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1150200102 
756. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1150175756 
757. ruruki  [フィロソフィア神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1149909574 
758. Anon  [HONEY SUNRiSE QUEEN]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1149512473 
759. TLINE623  [和歌山勢]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1149426617 
760. SHINDEN  [Chaos God]    [キャッツアイ篠路店@北海道@北海道] Score: 1149336712 
761. BLAZE  [ソウルメイト]    [ラウンドワン高知店@高知県@四国] Score: 1149300630 
762. Mogyugyu  [TANO*C KING]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1149219664 
763. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1148988196 
764. LDT-Cus  [LINK MASTER]    [TOM'S(YILAN MINSHENG)@Taiwan@海外] Score: 1148230902 
765. DIKA  [Ｓ＋級うどん]    [ＡＭフィールドアクス@東京都@関東] Score: 1147616926 
766. 23V-Bel  [第五ノ封印ヲ解放セシ者]    [Ｈｅｙ@東京都@関東] Score: 1146679989 
767. DOSAN*  [初PERFECT]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1146339321 
768. ishimine  [STORM CAUSER]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1146194521 
769. MIKU.39  [ゆっくりしていってね！]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1146143686 
770. Soahc@NN  [King of groove captain?]    [セガ東京ドームシティ@東京都@関東] Score: 1146093329 
771. Re:Clear  [世界の傍観者]    [タイトーステーション町田店@東京都@関東] Score: 1144993154 
772. Raji  [CERAMIC GOD]    [ＣＬＵＢＳＥＧＡ北谷@沖縄県@九州] Score: 1144942250 
773. Z*  [風林火山]    [タイトーステーション秋葉原店@東京都@関東] Score: 1143977312 
774. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1143717194 
775. TAYYO+DP  [dis-human]    [ハイテクランドセガ立石@東京都@関東] Score: 1143417780 
776. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1142536221 
777. URYU  [全都道府県グルメ完食]    [タイトーステーション和光店@埼玉県@関東] Score: 1141994693 
778. OCHA  [駆け出し]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1141984313 
779. Remilia  [THE BLUE GOD]    [アピナ鶴岡店@山形県@東北] Score: 1141262410 
780. Sibatya  [漆黒の堕天使]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1141143184 
781. HL  [LINK LINK KING]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1140847877 
782. YAIBA  [不可能へ挑戦する者]    [タイトーステーション船橋店@千葉県@関東] Score: 1140747671 
783. asa  [3EX]    [ｎａｍｃｏ中野店@東京都@関東] Score: 1140671947 
784. HATHUNE  [morning god]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1140119203 
785. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1138630667 
786. nakaparu  [変なTシャツヤロー]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1138350723 
787. JOTIO  [二代目超シューティング神]    [プラサカプコン甲府店@山梨県@関東] Score: 1137538017 
788. NYANYA  [大金持ち]    [マックスプラザ善通寺@香川県@四国] Score: 1136904800 
789. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1136365995 
790. EDAMAME  [Satisfiction God]    [タイトー旭サンモール店@千葉県@関東] Score: 1136169220 
791. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1135405762 
792. Un<hiKng  [クロビってる？]    [セガ赤羽@東京都@関東] Score: 1135088079 
793. Jindai  [God hive of Ra]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1135041004 
794. DC  [ペガサス]    [タイトーステーション和光店@埼玉県@関東] Score: 1134328756 
795. Hiro  [I love "Blue Destiny Blue"]    [セガワールド船堀@東京都@関東] Score: 1133601351 
796. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1133544595 
797. HIROMU  [わーい！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1133278841 
798. zaki/  [恋愛神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1131451267 
799. LOCK  [紅蓮の愚流超神皇]    [セガ池袋ギーゴ@東京都@関東] Score: 1130472637 
800. Ohyang  [宮城勢]    [カレッジ・スクエア@山形県@東北] Score: 1129455201 
********************************************************************************************
801. NYUDORA  [初PERFECT]    [アミューズファクトリー@愛知県@東海] Score: 1129320888 
802. taku  [わぁい先生大好き]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1128243387 
803. ToshiEXE  [It's a pit master]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1127970310 
804. mow*2  [Are you ready?]    [STARMU GAME CENTER@Korea@海外] Score: 1127776766 
